ofcNm,rutNm,fctKdCd,fctKdNm,fctCfCd,fctCfNm,fcno,fctNm,lctNm,ccwDt,dgnBgDt,dgnEdDt,dgcoNm,cwkBgDt,cwkEdDt,cstCmpNm,cwkNm,totCtco,xtsLen,xtsHg,xtsSpanCo,xtsMaxSpanLen,ftptBdt,rdwyBdt,alBdt,uplnCrtrCo,godnCrtrCo,crtrStoCo,prmsPssnLwgt,upstSpanCmpsVl,bdsfAbscNm,railngAbscNm,brdgBrktAbscNm,xpsjAbscNm,curbAbscNm,dpltAbscVl,mngdAbscVl,dgldVlCn,upstMspFrmCdCn,upstSbSpanFrmAbrNmCn,upstBrdgBrktFrmCdCn,upstXpsjFrmCdCn,lwstPierFrmCdCn,lwstPierBsCdCn,lwstBrpsFrmCdCn,tnnlXtsLen,tnnlHg,tmnsSlpeVl,algnRdcvVl,dtsbXn,ivrtInstXn,rprsFormCdCn,rprsMnCnmtCdCn,rprsAssCnmtCdCn,rprsDrnFrmCdCn,rprsPtnnFrmNmCn,albdt,bdsfabscnm,brdgbrktabscnm,ccwdt,crtrstoco,cstcmpnm,curbabscnm,cwkbgdt,cwkeddt,cwknm,dgconm,dgldvlcn,dgnbgdt,dgneddt,dpltabscvl,fctcfcd,fctcfnm,fctkdcd,fctkdnm,fctnm,ftptbdt,godncrtrco,index,lctnm,lwstbrpsfrmcdcn,lwstpierbscdcn,lwstpierfrmcdcn,mngdabscvl,ofcnm,prmspssnlwgt,railngabscnm,rdwybdt,rutnm,totctco,uplncrtrco,upstbrdgbrktfrmcdcn,upstmspfrmcdcn,upstsbspanfrmabrnmcn,upstspancmpsvl,upstxpsjfrmcdcn,xpsjabscnm,xtshg,xtslen,xtsmaxspanlen,xtsspanco,algnrdcvvl,dtsbxn,ivrtinstxn,rprsasscnmtcdcn,rprsdrnfrmcdcn,rprsformcdcn,rprsmncnmtcdcn,rprsptnnfrmnmcn,tmnsslpevl,tnnlhg,tnnlxtslen,drnfrmcdcn,totcrtrco
,,,,,,E673B64270841C52E034080020A9316A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,아스팔트,강재,1997-12-24,4,(주)대호건설외2,콘크리트,1995-06-10,1997-12-24,국도33호선 가천교외1개교 가설공사,건화엔지니어링,DB-24,,,RC,2,2종,1,교량,본관교,1,2,0.0,경상북도 고령군 대가야읍 본관리,역T형,강재말뚝기초,라멘식,Steel,대구국토관리사무소,43,강재,18.5,일반국도33호선,0,2,포트받침,강상자형교,,2@43.5+2@33=153,앵글보강조인트,강재,5.5,153,43.5,4,,,,,,,,,,,,,
,,,,,,E673B642708C1C52E034080020A9316A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,아스팔트,강재,1997-12-22,2,서울건업,콘크리트,1996-11-01,1997-12-22,,호산엔지니어링,DB-24,,,RC,3,3종,1,교량,다소교,0,1,0.0,강원도 인제군 인제읍 가아리,역T형,기타,T형교각,RC,홍천국토관리사무소,43,강재,10.2,일반국도31호선,"709,773",1,포트받침,RC슬래브교,강I형교,2@10.5+13=34,TransFlex조인트,고무재,9.2,34.1,13,3,,,,,,,,,,,,,
,,,,,,E673B6426F461C52E034080020A9316A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,아스팔트,강재,1997-12-06,2,대원(합),콘크리트,1996-05-01,1997-12-06,,도우엔지니어링,DB-24,,,강상판,3,3종,1,교량,용대교,0,1,0.0,강원도 인제군 북면 용대리,역T형,확대(전면)기초,벽식,RC,강릉국토관리사무소,43,콘크리트,8.5,일반국도46호선,"1,508,530",1,포트받침,RC슬래브교,RC중공슬래브교,4@12.5=50,GaiTop조인트,고무재,8.6,24,12.4,4,,,,,,,,,,,,,
,,,,,,E673B64270391C52E034080020A9316A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,아스팔트,강재,1997-12-01,4,(주)삼우건설,콘크리트,1997-05-01,1997-12-01,,(주)천일기술단,DB-24,,,RC,3,3종,1,교량,이동육교,0.9,2,0.0,경상남도 남해군 이동면 무림리,라멘식,미상,기타,PC,진주국토관리사무소,40,콘크리트,18.6,일반국도19호선,0,2,포트받침,PSCI형교,,30,ACE조인트,강재,4.5,25.3,25.3,1,,,,,,,,,,,,,
,,,,,,4DAAE6AB6FE04AAC802AF30D1A3A6F71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,아스팔트,,1997-12-01,4,대산건설(주),콘크리트,1997-03-17,1997-12-01,홍성 - 예산간 도로확포장 공사,장맥엔지니어링(주),DB-24,,,,0,기타,1,교량,금마교,1,2,0.0,충청남도 홍성군 금마면 신곡리,부벽식,,,,예산국토관리사무소,40,강재,18.5,일반국도21호선,"184,285",2,,라멘교,,1@13.3=13.3,,,5.2,13.3,12,1,,,,,,,,,,,,,
,,,,,,8F37044D3A4C4B73B39850AFFF50667E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,아스팔트,,1997-12-01,4,현대건설,콘크리트,1997-03-01,1997-12-01,장항 - 서천간 도로확포장 공사,삼환엔지니어링,DB-24,,,RC,0,기타,1,교량,삼산육교,2.2,2,0.0,충청남도 서천군 서천읍 삼산리,기타,,,Steel,논산국토관리사무소,40,강재,21.3,일반국도4호선,,2,,기타,,1@16.6=16.6,,,5.3,16.6,8.3,2,,,,,,,,,,,,,
,,,,,,1EF988E63C78419C86EB6F86DA366159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,아스팔트,,1997-12-01,4,현대건설,콘크리트,1997-03-01,1997-12-01,장항 - 서천간 도로확포장 공사,삼환엔지니어링,DB-24,,,RC,0,기타,1,교량,마서교,1.9,2,0.0,충청남도 서천군 마서면 덕암리,기타,,,Steel,논산국토관리사무소,40,강재,21.6,일반국도4호선,"68,834,000",2,,라멘교,,1@16.6=16.6,,,5.3,16.6,8.3,2,,,,,,,,,,,,,
,,,,,,A4165A2522694D5CBB840F6113FC3389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,아스팔트,,1997-12-01,4,현대건설,콘크리트,1997-03-01,1997-12-01,장항 - 서천간 도로확포장 공사,삼환엔지니어링,DB-24,,,RC,0,기타,1,교량,군사육교,1.3,2,0.0,충청남도 서천군 서천읍 삼산리,기타,,,Steel,논산국토관리사무소,40,강재,23.8,일반국도4호선,,2,,기타,,1@16.6=16.6,,,5.3,16.6,8.3,2,,,,,,,,,,,,,
,,,,,,E673B64274081C52E034080020A9316A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,아스팔트,,1997-12-01,4,풍림산업,콘크리트,1996-07-01,1997-12-01,,삼우기술단,DB-24,,,RC,3,3종,1,교량,우두교,0,2,0.0,경상북도 의성군 의성읍 업리,부벽식,미상,기타,PC,영주국토관리사무소,43,콘크리트,18,일반국도5호선,"843,000",2,기타,PSCI형교,목교,1@31=31,TransFlex조인트,강재,9.5,31,31,1,,,,,,,,,,,,,
,,,,,,E673B64272231C52E034080020A9316A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,아스팔트,강재,1997-12-01,4,,콘크리트,1995-12-30,1997-12-01,,,DB-24,,,RC,1,1종,1,교량,안성천2교,1,2,0.0,경기 평택 팽성 평궁,역T형,강재말뚝기초,라멘식,PC,수원국토관리사무소,0,콘크리트,18.5,일반국도38호선,0,2,포트받침,PSCI형교,강I형교,26@30+1@50+1@60+1@51.73=941.73,강핑거조인트,강재,10,941.6,60,29,,,,,,,,,,,,,
