rn,odofbrn,sptno,cno,cwknm,orcd,ornm,rutcd,rutnm,pdznnm,bzkdcd,bzkdnm,bztocd,stwrdt,ccwdt,ccwxpcdt,ccwyn,ccwynnm,bzarcd,bzarnm,cwksctnnm
1,1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,하성면 시암리~월곶면 용강리
2,1108300348,C2019022,C2019029,가금제 제방복구공사 건설사업관리용역,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2019-12-16,2021-12-04,20211204,1,완료공사,102,하천,경기도 김포시 애기봉로 802~
3,4038301161,C2003095,C2003095,가남제 개수공사,I,익산청,D1,섬진강,전라북도 순창군,J1,동진강,03,2003-07-07,2007-07-06,20070706,1,완료공사,102,하천,인계면 쌍암리~순창읍 장덕리
4,2248301909,C2003142,C2003142,가사-문곡 도로건설공사,W,원주청,038,국도 38호선(서산 ~ 동해),강원도 정선군,C,산업지원국도,00,2003-10-13,2008-12-10,20081210,1,완료공사,101,도로,정선군 신동읍 가사리~정선군 남면 문곡리
5,6048300784,C1997009,C1997009,가산-상림 도로4차선 확장 및 포장공사,B,부산청,025,국도 25호선(진해 ~ 청주),경상북도 칠곡군,B,지역간선,08,1997-02-27,2006-02-19,20060219,1,완료공사,101,도로,경상북도 칠곡군 가산면 천평리~경상북도 구미시 장천면 상림리
6,1108300348,C2004031,C2004031,가월리배수펌프장설치공사,S,서울청,R1,임진강,경기도 파주시,R1,임진강,01,2004-05-13,2008-12-31,20081231,1,완료공사,102,하천,~
7,2248301909,C2003112,C2003112,간성-현내 도로건설공사,W,원주청,007,국도 7호선(부산 ~ 온성 (간성)),강원도 고성군,B,지역간선,00,2003-06-12,2016-12-31,20161231,1,완료공사,101,도로,강원도 고성군 간성읍 상리~고성군 현내면 대진리
8,3068301763,C2005069,C2005073,갈산-해미(서천판교우회) 도로건설공사,D,대전청,026,국도 26호선(군산 ~ 대구),충청남도 서천군,A,일반국도,01,2005-12-20,2014-07-23,20140723,1,완료공사,101,도로,충남 서천군 문곡리~충남 서천군 복대리
9,6048300784,C2009055,C2009067,감천 김천지구 하천개수공사,B,부산청,Z1,기타,경상북도 김천시,Z1,기타,01,2009-02-24,2012-12-20,20130202,1,완료공사,102,하천,김천시 조마면 장암리~김천시 개령면 동부리
10,6048300784,C2012010,C2012010,감천 대광지구 하천환경정비사업,B,부산청,B1,낙동강,경상북도 김천시,Z1,기타,01,2012-02-10,2015-10-18,20151018,1,완료공사,102,하천,신음제~대광제
11,6048300784,C2013937,C2013937,감천 수해복구공사,B,부산청,B1,낙동강,경상북도 구미시,B1,낙동강,01,2013-03-18,2014-02-10,20140210,1,완료공사,102,하천,하상유지공~양천2제
12,6048300784,C2015006,C2015020,감천 습례지구 수해복구공사,B,부산청,Z1,기타,경상북도 김천시,Z1,기타,01,2015-03-16,2018-12-28,20190222,1,완료공사,102,하천,경북 구미시 고아읍 횡산리~김천시 감문면 태촌리
13,6048300784,C2015008,C2015021,감천 신림지구 수해복구공사,B,부산청,B1,낙동강,경상북도 김천시,Z1,기타,미등록,2015-03-16,2020-07-02,20200610,1,완료공사,102,하천,경북 김천시 지좌동~경북 김천시 감문면 태촌리
14,6048300784,C2015009,C2015022,감천 신안지구 수해복구공사,B,부산청,Z1,기타,경상북도 김천시,Z1,기타,01,2015-03-16,2019-07-22,20190222,1,완료공사,102,하천,경북 김천시 구성면 광명리~경북 김천시 지좌동
15,6048300784,C2004091,C2004091,감천 아포지구 하천개수공사,B,부산청,B1,낙동강,경상북도 김천시,B1,낙동강,01,2004-12-28,2011-12-31,20111231,1,완료공사,102,하천,경북 김천시 신음동~경북 구미시 해평면
16,6048300784,C2012022,C2012011,감천 지좌지구 하천환경정비사업,B,부산청,Z1,기타,경상북도 김천시,Z1,기타,01,2012-02-10,2015-10-30,20151030,1,완료공사,102,하천,경북 김천시 지좌동~경북 김천시 지좌동
17,6048300784,C2015007,C2015023,감천 황산지구 수해복구공사,B,부산청,Z1,기타,경상북도 구미시,Z1,기타,01,2015-03-16,2019-02-22,20190222,1,완료공사,102,하천,경북구미시선산읍북산리~경북구미시선산읍원리
18,6048300784,C2002006,C2002006,감천-예천 국도확장공사,B,부산청,028,국도 28호선(영주 ~ 포항),경상북도 예천군,B,지역간선,10,2002-11-01,2009-12-29,20091229,1,완료공사,101,도로,경북 예천읍 감천면 포리~경북 예천군 예천읍 청복리
19,6048300784,C2003011,C2003011,감천지구 하천개수공사,B,부산청,B1,낙동강,,B1,낙동강,01,2003-05-12,2005-12-26,20051226,1,완료공사,102,하천,~
20,6048300784,C2009042,C2009056,감포-구룡포 국도건설공사,B,부산청,031,국도 31호선(부산 ~ 신고산),경상북도 경주시,A,일반국도,00,2009-04-15,2018-10-18,20180930,1,완료공사,101,도로,경북.경주.감포.나정~경북.경주.감포.오류
21,3068301763,C2005032,C2005013,강경지구 하천환경정비사업,D,대전청,C1,금강,충청남도 논산시,C1,금강,03,2005-06-27,2011-06-06,20110606,1,완료공사,102,하천,~
22,3068301763,C2015025,C2015048,강경천 망성지구 하천환경정비사업,D,대전청,C1,금강,전라북도 익산시,Z1,기타,미등록,2015-10-07,2020-12-31,20201231,1,완료공사,102,하천,전북 익산시 망성면 무형리 일원~충남 논산시 채운면 삼거리 일원
23,6048300784,C2003012,C2003012,강누지구 하천개수공사,B,부산청,B1,낙동강,경상남도 산청군,B1,낙동강,01,2003-12-15,2010-12-23,20110317,1,완료공사,102,하천,경상남도 산청군~경상남도 산청군
24,4038301161,C2015003,C2015015,강진-마량 도로건설공사,I,익산청,023,국도 23호선(강진 ~ 천안),전라남도 강진군,A,일반국도,01,2015-01-05,2020-12-08,20191209,1,완료공사,101,도로, 전남 강진군 군동면 삼신리~전남 강진군 마량면 마량리
25,2248301909,C2002070,C2002070,강촌제 축제공사,W,원주청,Z1,기타,강원도 춘천시,Z1,기타,03,2002-04-08,2006-02-23,20060223,1,완료공사,102,하천,~
26,4038301161,C1996005,C1996005,개정-성산 도로확장 및 포장공사,I,익산청,029,국도 29호선(보성 ~ 서산),전라북도 군산시,B,지역간선,08,1996-08-26,2005-12-22,20051222,1,완료공사,101,도로,전북 군산시 개정면 운회리~전북 군산시 성산면 성덕리
27,4038301161,T2002001,C2002071,거금도 연도교 가설공사(2단계),I,익산청,027,국도 27호선(고흥 ~ 군산),전라남도 고흥군,A,일반국도,01,2002-12-30,2012-04-30,20120430,1,완료공사,101,도로,전남 고흥군 금산면 대흥리(거금도)~전남 고흥군 도양읍 소록리(소록도)
28,6048300784,C2012058,C2012065,거제-마산2 국도건설공사,B,부산청,005,국도 5호선(마산 ~ 중강진(김화)),경상남도 창원시,A,일반국도,01,2012-07-20,2020-08-21,20200607,1,완료공사,101,도로,마산합포구 구산면 심리~마산합포구 구산면 내포리
29,6048300784,C2012059,C2012064,거제-마산3 국도건설공사,B,부산청,005,국도 5호선(마산 ~ 중강진(김화)),경상남도 창원시,A,일반국도,미등록,2012-07-20,2021-04-01,20200607,1,완료공사,101,도로,구산면 내포리~현동
30,6048300784,C2002015,C2002015,거제시 관내 국도대체 우회도로(아주-상동) 건설공사,B,부산청,014,국도 14호선(거제 ~ 포항),경상남도 거제시,D,국도대체우회도로,00,2002-02-14,2013-12-20,20131220,1,완료공사,101,도로,경상남도 거제시 아주동~경상남도 거제시 상동동
31,6048300784,C2002003,C2002003,거제시 관내 국도대체우회도로(상동-신현)건설공사,B,부산청,002,국도 2호선(목포 ~ 부산),경상남도 거제시,D,국도대체우회도로,00,2002-12-30,2015-03-31,20150331,1,완료공사,101,도로,경남 거제시 상동동~경남 거제시 장평동
32,6048300784,C2007038,C2007039,거제시관내 국도대체우회도로(일운-아주) 건설공사,B,부산청,001,국도 1호선(목포 ~ 신의주(판문점)),경상남도 거제시,A,일반국도,00,2007-05-03,2016-12-31,20161231,1,완료공사,101,도로,경남 거제시 일운면 소동리~경남 거제시 아양동
33,6048300784,C1997010,C1997010,건천I.C-현곡 도로4차선 축조공사,B,부산청,020,국도 20호선(산청 ~ 포항),경상북도 경주시,B,지역간선,08,1997-03-11,2005-09-30,20050930,1,완료공사,101,도로,경상북도 경주시 건천읍 천포리~경상북도 경주시 현곡면 상구리
34,4038301161,C2007079,C2007087,격포-하서 도로확장공사,I,익산청,030,국도 30호선(부안 ~ 대구),전라북도 부안군,A,일반국도,01,2007-11-05,2017-12-15,20171215,1,완료공사,101,도로,부안군 변산면 지서리~부안군 하서면 백련리
35,6048300784,C2022008,C2021042,경산시 국도대체우회도로(남산-하양) 건설공사,B,부산청,025,국도 25호선(진해 ~ 청주),경상북도 경산시,D,국도대체우회도로,미등록,2022-02-07,2029-02-04,20290204,0,진행공사,101,도로,~
36,1108300348,C2001027,C2001026,경안천 하천환경 정비사업,S,서울청,A1,한강,,F1,안성천,01,2001-05-03,2004-12-23,20041231,1,완료공사,102,하천,~
37,1108300348,C2012035,C2012035,경안천(경안지구)하천환경정비사업,S,서울청,Z1,기타,경기도 광주시,A1,한강,01,2012-03-05,2017-02-06,20170206,1,완료공사,102,하천,경기 광주 송정동~경기 광주 매산리
38,1108300348,C2012060,C2012036,경안천(서하지구)하천환경정비사업,S,서울청,Z1,기타,경기도 광주시,A1,한강,01,2012-08-07,2017-07-11,20170711,1,완료공사,102,하천,경기도 광주시 송정동~경기도 광주시 퇴촌면 광동리
39,6048300784,C2021023,C2021021,경주 검단일반산업단지 진입로 개설공사,B,부산청,,,경상북도 경주시,A,일반국도,01,2021-03-15,2023-03-04,20230304,0,진행공사,101,도로,경북 경주시 안강읍 검단리  산93-2~경북 경주시 안강읍 검단리 산90-7
40,6048300784,C2022006,C2021041,경주 양남-감포 국도건설공사,B,부산청,031,국도 31호선(부산 ~ 신고산),,A,일반국도,01,,,,0,진행공사,101,도로,~
41,6048300784,C2006018,C2006008,경주-감포1 국도건설공사,B,부산청,004,국도 4호선(군산 ~ 경주),경상북도 경주시,A,일반국도,00,2006-03-06,2014-12-30,20141230,1,완료공사,101,도로,경북 경주시 양북면 장항리~경북 경주시 감포읍 나정리
42,6048300784,C2004003,C2004003,경주-감포2국도 건설공사,B,부산청,004,국도 4호선(군산 ~ 경주),경상북도 경주시,A,일반국도,01,2004-02-20,2014-12-31,20141231,1,완료공사,101,도로,경북 경주시 진현동~경북 경주시 양북면 장항리
43,6048300784,C2006016,C2006016,경주시 관내 국도대체 우회도로(내남-외동) 건설공사,B,부산청,007,국도 7호선(부산 ~ 온성 (간성)),경상북도 경주시,D,국도대체우회도로,미등록,2006-02-21,2017-12-31,20171231,1,완료공사,101,도로,내남면 노곡리~외동읍 모화리
44,6048300784,C2016032,C2016031,경주시 국도대체우회도로(상구-효현) 건설공사,B,부산청,007,국도 7호선(부산 ~ 온성 (간성)),경상북도 경주시,A,일반국도,00,2016-10-31,2023-09-24,20230924,0,진행공사,101,도로,경주시 현곡면 상구리~경주시 효현동
45,6048300784,C2006017,C2006018,경주시관내 국도대체 우회도로(효현-내남)건설 공사,B,부산청,035,국도 35호선(부산 ~ 강릉),경상북도 경주시,D,국도대체우회도로,미등록,2006-02-14,2018-09-14,20180831,1,완료공사,101,도로,경북 경주시 광명동~경북 경주시 내남면 노곡리
46,3068301763,C2018031,C2018034,계룡시 국도대체우회도로(연산-두마)건설공사,D,대전청,004,국도 4호선(군산 ~ 경주),충청남도 논산시,D,국도대체우회도로,미등록,2018-10-17,2025-09-09,20250909,0,진행공사,101,도로,충청남도 논산시 연산면 송정리 148-1~대전광역시 유성구 방동 864-9
47,4038301161,C2009105,C2009118,고군산군도 연결도로(1공구)건설공사,I,익산청,027,국도 27호선(고흥 ~ 군산),전라북도 군산시,A,일반국도,01,2009-12-28,2015-12-31,20160630,1,완료공사,101,도로,군산시 옥도면 신시도리~신시도리
48,4038301161,C2009104,C2009117,고군산군도 연결도로(2공구)건설공사,I,익산청,001,국도 1호선(목포 ~ 신의주(판문점)),전라북도 군산시,A,일반국도,01,2009-12-11,2015-12-31,20151231,1,완료공사,101,도로,군산시 옥도면 신시도리~군산시 옥도면 무녀도리
49,4038301161,C2009106,C2009119,고군산군도 연결도로(3공구) 건설공사,I,익산청,001,국도 1호선(목포 ~ 신의주(판문점)),전라북도 군산시,A,일반국도,01,2009-12-14,2018-05-31,20180531,1,완료공사,101,도로,옥도면 무녀도리~옥도면 장자도리
50,6048300784,C2017025,C2017023,고노-우보 국도건설공사,B,부산청,028,국도 28호선(영주 ~ 포항),경상북도 군위군,A,일반국도,01,2017-03-20,2021-02-26,20210226,1,완료공사,101,도로,경북 군위군 고로면 화수리(1구간:L:1.20km))~경북 군위군 우보면 이화리(2구간:L0.7km)
51,6048300784,C2006006,C2006005,고령-성주(1공구) 국도건설공사,B,부산청,033,국도 33호선(고성 ~ 구미),경상북도 고령군,A,일반국도,01,2006-02-06,2015-12-17,20151217,1,완료공사,101,도로,경북 고령군 쾌빈리~경북 성주군 수륜면
52,6048300784,C2007032,C2007032,고령-성주2 국도건설공사,B,부산청,033,국도 33호선(고성 ~ 구미),경상북도 성주군,A,일반국도,01,2007-05-07,2016-12-31,20161231,1,완료공사,101,도로,경북 성주 수륜 계정~경북 성주 대가 옥화
53,6048300784,C2007031,C2007031,고령-성주3 국도건설공사,B,부산청,033,국도 33호선(고성 ~ 구미),경상북도 성주군,A,일반국도,00,2007-04-25,2016-12-31,20161231,1,완료공사,101,도로,경북 성주군 대가면~경북 성주군 성주읍
54,4038301161,C2004128,C2004129,고막원천 고막1제외 2개지구 보강공사,I,익산청,E1,영산강,전라남도 함평군,E1,영산강,01,2004-12-24,2010-11-17,20101117,1,완료공사,102,하천,"전남 나주시 다시면 송촌리~전남 함평군 학교면 금곡리,복천리"
55,4038301161,C2005019,C2005029,고막원천 나산1제 외 1개지구 보강공사,I,익산청,E1,영산강,전라남도 함평군,E1,영산강,01,2005-05-30,2009-12-22,20091231,1,완료공사,102,하천,~
56,4038301161,C2011030,C2011025,고막원천 다시1지구 하천환경정비공사,I,익산청,E1,영산강,전라남도 나주시,E1,영산강,01,2011-12-26,2014-12-09,20141209,1,완료공사,102,하천,전남나주시다시면동당리~전남함평군학교면석정리
57,4038301161,C2015034,C2015056,고막원천 다시2지구 하천환경정비사업,I,익산청,Z1,기타,전라남도 함평군,Z1,기타,미등록,2015-12-09,2019-12-30,20201206,1,완료공사,102,하천,대동면 금곡리~학교면 석정리
58,4038301161,C2014005,C2014007,고막원천 문평1지구외 1개소 하천환경정비사업,I,익산청,E1,영산강,전라남도 나주시,E1,영산강,01,2013-12-20,2018-11-23,20181123,1,완료공사,102,하천,전남 함평군 나산면~전남 나주시 문평면
59,4038301161,C2016001,C2015057,고막원천 문평2지구 하천환경정비사업,I,익산청,Z1,기타,전라남도 함평군,Z1,기타,미등록,2015-12-14,2021-12-31,20201211,1,완료공사,102,하천,해보면 대창리~나산면 삼축리
60,4038301161,C2017018,C2017011,고부천 신평지구 하천환경정비사업,I,익산청,Z1,기타,전라북도 부안군,J1,동진강,01,2017-03-06,2020-10-31,20181210,1,완료공사,102,하천,정읍시 고부면 관청리~부안군 백산면 금판리
61,4038301161,C2007076,C2007085,고부천-원평천 하도정비공사,I,익산청,J1,동진강,전라북도 부안군,J1,동진강,01,2007-12-20,2014-05-09,20140509,1,완료공사,102,하천,전북 정읍 고부 관청~부안 동진 하장
62,4038301161,C2017028,C2017030,고부천유역 홍수방지대책사업(1공구),I,익산청,J1,동진강,전라북도 부안군,Z1,기타,미등록,2019-01-28,2024-12-31,20191210,0,진행공사,102,하천,"부안군,읍 금판리~백산면 죽림리"
63,4038301161,C2017030,C2017034,고부천유역 홍수방지대책사업(2공구),I,익산청,J1,동진강,전라북도 부안군,J1,동진강,01,2017-05-08,2024-12-31,20220411,0,진행공사,102,하천,전북 부안군 백산면 죽림리~부안군 부안읍 신운리
64,4038301161,C2017027,C2017025,고부천유역 홍수방지대책사업(3공구),I,익산청,J1,동진강,전라북도 부안군,Z1,기타,미등록,2017-04-18,2022-03-22,20220322,0,진행공사,102,하천,전북 정읍시 고부면 신흥리~전북 부안군 백산면 죽림리 일원
65,6048300784,C2017038,C2017042,고성-통영 국도건설공사,B,부산청,077,국도 77호선(부산 ~ 인천),경상남도 통영시,A,일반국도,01,2017-06-26,2024-05-19,20240519,0,진행공사,101,도로,경남 통영시 광도면 노산리~고성군 동해면 장좌리
66,6048300784,C2014014,C2014024,고성죽계-마산진전1 국도건설공사,B,부산청,014,국도 14호선(거제 ~ 포항),경상남도 고성군,A,일반국도,00,2014-03-03,2021-12-30,20210124,1,완료공사,101,도로,경남 고성군 고성읍 죽계리~경남 고성군 회화면 배둔리
67,6048300784,C2014017,C2014026,고성죽계-마산진전2 국도건설공사,B,부산청,014,국도 14호선(거제 ~ 포항),경상남도 고성군,A,일반국도,00,2014-03-03,2021-09-30,20210124,1,완료공사,101,도로,경상남도 고성군 회화면 배둔리~경상남도 창원시 마산합포구 진전면 오서리
68,1108300348,C2003100,C2003100,고양난지지구 하천환경 정비사업,S,서울청,A1,한강,경기도 고양시 덕양구,A1,한강,01,2003-08-04,2006-07-19,20060719,1,완료공사,102,하천,현천동창릉천합류부~덕은동향동천합류부
69,1108300348,C2004042,C2004042,고양시관내 국도대체우회도로(원당-관산) 건설공사,S,서울청,039,국도 39호선(부여 ~ 의정부),경기도 고양시 덕양구,D,국도대체우회도로,미등록,2004-11-22,2021-12-31,20191226,1,완료공사,101,도로,경기 고양 덕양구 원당동~경기 고양 덕양구 관산동
70,1108300348,C2004033,C2004033,고양시관내 국도대체우회도로(토당-원당) 건설공사,S,서울청,039,국도 39호선(부여 ~ 의정부),경기도 고양시 덕양구,D,국도대체우회도로,미등록,2004-04-16,2021-12-30,20211230,1,완료공사,101,도로,토당동~원당동
71,6048300784,C2008013,C2008014,고제-무풍 건설공사,B,부산청,037,국도 37호선(거창 ~ 파주),경상남도 거창군,A,일반국도,00,2008-04-07,2013-10-31,20131031,1,완료공사,101,도로,경남 거창군 고제면 개명리~전북 무주군 무풍면 삼거리
72,2248301909,C2006048,D2006064,고주암제 수해복구공사,W,원주청,,,강원도 강릉시,미등록,,미등록,2006-12-14,2007-06-18,20070618,1,완료공사,102,하천,~
73,4038301161,C2018005,C2018003,고창 해리-부안 도로시설개량공사,I,익산청,022,국도 22호선(정읍 ~ 순천),전라북도 고창군,A,일반국도,01,2017-12-08,2022-11-16,20221111,0,진행공사,101,도로,전라북도 고창군 해리면 금평리 21~전라북도 고창군 아산면 삼인리 29-4
74,6048300784,C2009103,C2009110,고현-이동 국도건설공사,B,부산청,019,국도 19호선(남해 ~ 원주),경상남도 남해군,A,일반국도,01,2009-12-01,2020-03-26,20190731,1,완료공사,101,도로,이동면 석평리~고현면 도마리
75,6048300784,C2009046,C2009059,고현-하동(IC3)국도건설공사,B,부산청,019,국도 19호선(남해 ~ 원주),경상남도 남해군,A,일반국도,01,2009-03-31,2017-03-09,20170309,1,완료공사,101,도로,경남 남해군 고현면 도마리~경남 남해군 설천면 덕신리
76,6048300784,C2009099,C2009113,고현-하동IC 2 국도건설공사,B,부산청,019,국도 19호선(남해 ~ 원주),경상남도 남해군,A,일반국도,01,2009-10-19,2018-09-08,20180908,1,완료공사,101,도로,경상남도 남해군 설천면 덕신리~경남남도 하동군 금남면 노량리
77,6048300784,C2009047,C2009063,고현-하동IC(1) 국도건설공사,B,부산청,019,국도 19호선(남해 ~ 원주),경상남도 하동군,A,일반국도,01,2009-04-14,2017-06-27,20170627,1,완료공사,101,도로,경남 하동군 금남면 송문리~경남 하동군 금남면 계천리
78,4038301161,C2015012,C2015025,고흥-봉래 도로건설공사,I,익산청,015,국도 15호선(고흥 ~ 담양),전라남도 고흥군,A,일반국도,01,2015-03-17,2021-03-05,20210221,1,완료공사,101,도로,포두면 옥강리~봉래면 예내리
79,3068301763,C2015030,C2015050,곡교천 강청.인주지구 하천환경정비사업,D,대전청,Z1,기타,충청남도 아산시,Z1,기타,미등록,2015-11-05,2020-12-31,20201008,1,완료공사,102,하천,아산시염치읍강청리~아산시인주면대음리
80,3068301763,C2005079,C2005083,곡교천 곡교지구 기성제 보강공사,D,대전청,G1,삽교천,충청남도 아산시,G1,삽교천,01,2005-12-26,2014-01-03,20140103,1,완료공사,102,하천,~
81,3068301763,C2021031,C2021028,곡교천 수해복구공사,D,대전청,G1,삽교천,충청남도 아산시,G1,삽교천,01,2021-05-07,2021-12-18,20211102,1,완료공사,102,하천,충남 아산시 배방읍 북수리 47-2~충남 예산군 하포리 681-18
82,3068301763,C2009011,C2009015,곡교천 아산지구 생태하천조성사업,D,대전청,C1,금강,충청남도 아산시,C1,금강,01,2009-02-26,2015-12-31,20151231,1,완료공사,102,하천,아산 권곡 온양 합류점~아산 염치 와천 합류점
83,1108300348,C2017031,C2017032,공도-대덕 도로확장공사,S,서울청,038,국도 38호선(서산 ~ 동해),경기도 안성시,A,일반국도,01,2017-05-02,2023-04-30,20190105,0,진행공사,101,도로,안성시 공도읍 만정리~대덕면 신령리
84,1108300348,C2022011,C2022017,공릉천 공릉지구 하천정비사업,S,서울청,A1,한강,,A1,한강,01,,,,0,진행공사,102,하천,~
85,1108300348,C2009021,C2009032,공릉천 생태하천조성사업,S,서울청,A1,한강,경기도 파주시,A1,한강,01,2009-02-25,2014-10-13,20141013,1,완료공사,102,하천,"덕양구 내유동, 조리읍 장곡리~교하읍 송촌리, 탄현면 법흥리"
86,1108300348,C2018033,C2018039,공릉천 파주지구 하천정비사업,S,서울청,Z1,기타,경기도 파주시,Z1,기타,미등록,2018-11-14,2023-10-18,20231018,0,진행공사,102,하천,조리읍 대원리~탄현면 법흥리
87,2248301909,C2002066,C2002066,공리제축제공사,W,원주청,Z1,기타,강원도 양구군,Z1,기타,03,2002-04-09,2005-10-01,20051001,1,완료공사,102,하천,~
88,3068301763,C1996004,C1996004,공주-이인간 도로 확장 및 포장공사,D,대전청,040,국도 40호선(대천 ~ 공주),충청남도 공주시,A,일반국도,01,1996-12-27,2005-12-31,20051231,1,완료공사,101,도로,충남 공주시 탄천면 삼각리~충남 공주시 봉정동
89,3068301763,C1995003,C1995003,공주-종촌간 도로확장 및 포장공사,D,대전청,036,국도 36호선(대천 ~ 울진),충청남도 공주시,B,지역간선,08,1996-02-13,2004-12-22,20041222,1,완료공사,101,도로,충남 공주시~세종특별자치시  종촌동
90,3068301763,C2021013,C2021016,공주시 국도대체우회도로(봉정~방문)건설공사,D,대전청,999,기타,충청남도 공주시,D,국도대체우회도로,미등록,2021-02-08,2028-01-02,20280102,0,진행공사,101,도로,~
91,3068301763,C2017039,C2017040,과학벨트 진입도로 건설공사,D,대전청,999,기타,대전광역시 유성구,F,기타,미등록,2017-07-10,2020-12-21,20200623,1,완료공사,101,도로,대전 유성구 신동~봉산동
92,4038301161,C2012008,C2010145,광양시 국도대체우회도로(중군-진정) 건설공사,I,익산청,002,국도 2호선(목포 ~ 부산),전라남도 광양시,A,일반국도,01,2011-12-28,2019-12-24,20191224,1,완료공사,101,도로,광양시 성황동~광양시 진월면 마룡리
93,4038301161,C2006020,C2006020,광양시관내국도대체우회도로(세풍-중군)건설공사,I,익산청,002,국도 2호선(목포 ~ 부산),전라남도 광양시,D,국도대체우회도로,00,2006-06-27,2019-03-21,20181231,1,완료공사,101,도로,전라남도 광양시 광양읍 세풍리~전라남도 광양시 성황동
94,4038301161,C2001016,C2001016,광양시관내국도대체우회도로(월전-세풍)건설공사,I,익산청,002,국도 2호선(목포 ~ 부산),전라남도 순천시,D,국도대체우회도로,00,2001-12-04,2011-12-31,20111231,1,완료공사,101,도로,순천시 해룡면 월전리~광양시 광양읍 세풍리
95,1108300348,C2009006,C2009009,광전IC-의정부 도로확장공사,S,서울청,043,국도 43호선(연기 ~ 고성),경기도 의정부시,A,일반국도,00,2009-02-09,2016-03-01,20160301,1,완료공사,101,도로,경기 남양주 별내면 광전리~의정부시계
96,4038301161,C2002040,C2002040,광주-장성 도로확장공사(국도1호선),I,익산청,001,국도 1호선(목포 ~ 신의주(판문점)),광주광역시 광산구,B,지역간선,08,2002-11-28,2010-11-29,20101129,1,완료공사,101,도로,광주광역시 북구 동운동~전라남도 장성군 장성읍 단광리
97,3068301763,C2013514,C2013553,괴산-괴산IC 도로건설공사,D,대전청,019,국도 19호선(남해 ~ 원주),충청북도 괴산군,A,일반국도,01,2013-09-03,2018-08-17,20180817,1,완료공사,101,도로,충청북도 괴산군 감물면 오성리~장연면 방곡리
98,3068301763,C2003045,C2003045,괴산-연풍(2공구) 도로건설공사,D,대전청,034,국도 34호선(당진 ~ 영덕),충청북도 괴산군,B,지역간선,10,2003-02-17,2007-12-31,20071231,1,완료공사,101,도로,충북 괴산군 칠성면 태성리~충북 괴산군 연풍면 삼풍리
99,3068301763,C2014008,C2014010,괴산~음성 도로건설공사,D,대전청,037,국도 37호선(거창 ~ 파주),충청북도 괴산군,A,일반국도,01,2014-02-26,2021-08-31,20210119,1,완료공사,101,도로,충청북도 괴산군 소수면 아성리~충청북도 음성군 원남면 하노리
100,1108300348,C2011023,C2011021,구)행주대교 철거공사,S,서울청,039,국도 39호선(부여 ~ 의정부),서울특별시 강서구,F,기타,00,2011-06-24,2012-01-19,20121019,1,완료공사,101,도로,강서구 개화동 일원~덕양구 행주외동 일원
101,3068301763,C1997012,C1997012,구룡-부여간 도로확장 및 포장공사,D,대전청,004,국도 4호선(군산 ~ 경주),충청남도 부여군,B,지역간선,10,1997-12-05,2008-01-10,20080110,1,완료공사,101,도로,충남 부여군 구룡면 주정리~충남 부여군 부여읍 군수리
102,6048300784,C2019027,C2019036,구미-군위IC 국도건설공사,B,부산청,067,국도 67호선(칠곡 ~ 구미),경상북도 구미시,A,일반국도,01,2019-11-14,2024-10-17,20241017,0,진행공사,101,도로,경북 구미시 장천면 상림리~경북 군위군 군위읍 무성리
103,6048300784,C2014010,C2014006,구미국가산업단지 제5단지 진입도로 건설공사(2공구),B,부산청,002,국도 2호선(목포 ~ 부산),경상북도 구미시,C,산업지원국도,미등록,2013-09-25,2018-02-14,20170903,1,완료공사,101,도로,경북 구미시 산동면 성수리~경북 구미시 산동면 동곡리
104,6048300784,C2018019,C2017059,구미국가산업단지 제5단지진입도로건설공사(1공구),B,부산청,999,기타,경상북도 구미시,C,산업지원국도,01,2018-05-25,2025-04-17,20250417,0,진행공사,101,도로,경상북도 구미시 고아읍 송림리 453-5~경상북도 구미시 해평면 문량리 산 30-4
105,1108300348,C2004044,C2004044,구미리 배수펌프장 설치 공사,S,서울청,R1,임진강,경기도 연천군,R1,임진강,01,2004-11-29,2007-11-13,20071113,1,완료공사,102,하천,~
106,6048300784,C2012028,C2012029,구미시 관내 국도대체우회도로(구포-생곡1)건설공사,B,부산청,033,국도 33호선(고성 ~ 구미),경상북도 구미시,A,일반국도,01,2012-02-21,2021-05-31,20190114,1,완료공사,101,도로,경북 구미시 구포동~경북 구미시 고아읍 송림리
107,6048300784,C2009093,C2009108,구미시관내 국도대체우회도로(구포-덕산1)건설공사,B,부산청,033,국도 33호선(고성 ~ 구미),경상북도 구미시,D,국도대체우회도로,미등록,2009-10-30,2020-02-29,20181231,1,완료공사,101,도로,경상북도 구미시 구포동~경상북도 구미시 구평동
108,6048300784,C2009091,C2009106,구미시관내 국도대체우회도로(구포-덕산2)건설공사,B,부산청,033,국도 33호선(고성 ~ 구미),경상북도 칠곡군,D,국도대체우회도로,미등록,2013-03-19,2019-07-20,20170920,1,완료공사,101,도로,경상북도 구미시 구평동~경상북도 칠곡군 약목면 덕산리
