rn,odofbrn,sptno,cno,cwknm,orcd,ornm,rutcd,rutnm,pdznnm,bzkdcd,bzkdnm,bztocd,stwrdt,ccwdt,ccwxpcdt,ccwyn,ccwynnm,bzarcd,bzarnm,cwksctnnm
772,1108300348,C2005057,C2005061,안양천(상류)하천환경정비사업,S,서울청,A1,한강,경기도 안양시 만안구,A1,한강,01,2005-12-05,2010-12-20,20101220,1,완료공사,102,하천,안양시 만안구 안양동 경부본선 철도교~안양시 만안구 석수동 기아대교(서울시계)
773,1108300348,C2009019,C2009030,안양천(하류)정비사업,S,서울청,A1,한강,서울특별시 금천구,Z1,기타,01,2009-02-23,2014-12-30,20141230,1,완료공사,102,하천,금천구 시흥동(기아대교)~강서구 염창동(한강 합류점)
774,6048300784,C2000003,C2000003,안의-마리 도로4차로 확장 및 포장공사,B,부산청,003,국도 3호선(남해 ~ 초산 (철원)),경상남도 함양군,A,일반국도,01,2000-12-29,2010-12-29,20111231,1,완료공사,101,도로,경남 함양군 안의면 석천리~경남 거창군 마리면 말흘리
775,4038301161,C2010040,C2010143,압해-암태(1공구) 도로건설공사,I,익산청,002,국도 2호선(목포 ~ 부산),전라남도 신안군,A,일반국도,01,2010-09-15,2019-03-19,20190319,1,완료공사,101,도로,신안군 암태면~신안군 압해읍
776,4038301161,C2010041,C2010144,압해-암태(2공구) 도로건설공사,I,익산청,002,국도 2호선(목포 ~ 부산),전라남도 신안군,A,일반국도,01,2018-01-18,2019-01-16,20190116,1,완료공사,101,도로,압해읍 송공리(해상)~압해읍 송공리(육상)
777,4038301161,C2003070,C2003070,압해-운남 도로확장공사,I,익산청,077,국도 77호선(부산 ~ 인천),전라남도 무안군,A,일반국도,00,2003-06-25,2013-12-31,20131231,1,완료공사,101,도로,전남 신안군 압해읍 복룡리~전남 무안군 운남면 연리
778,1108300348,C2004049,C2004049,야미제외 2개소 개수공사,S,서울청,R1,임진강,경기도 포천시,R1,임진강,03,2004-12-29,2006-12-28,20061228,1,완료공사,102,하천,~
779,4038301161,C2003071,C2003071,야은-원덕 도로확장공사,I,익산청,001,국도 1호선(목포 ~ 신의주(판문점)),전라남도 장성군,A,일반국도,01,2003-08-28,2015-12-21,20151221,1,완료공사,101,도로,전남 장성 장성 야은~전남 장성 북하 약수
780,2248301909,C2005060,C2005064,양구남면 우회도로(A.B) 건설공사,W,원주청,031,국도 31호선(부산 ~ 신고산),강원도 양구군,A,일반국도,01,2005-12-28,2015-05-28,20150528,1,완료공사,101,도로,강원도 양구군 남면 죽리~강원도 양구군 남면 가오작리
781,2248301909,C2012002,C2011033,양구서천 고대지구 하천환경정비사업,W,원주청,A1,한강,강원도 양구군,A1,한강,01,2011-12-27,2015-12-05,20151205,1,완료공사,102,하천,희망의다리~양구저류보
782,2248301909,C2012001,C2011034,양구서천 동수지구 하천환경정비사업,W,원주청,A1,한강,강원도 양구군,미등록,,미등록,2011-12-27,2016-10-24,20161024,1,완료공사,102,하천,양구군 양구읍 상리~양구군 양구읍 고대리
783,2248301909,C2020009,C2020010,양구서천 양구지구 하천환경정비사업,W,원주청,Z1,기타,강원도 양구군,Z1,기타,미등록,2020-01-10,2023-04-23,20200208,0,진행공사,102,하천,~
784,2248301909,C2001030,C2001029,양구읍(웅진리구간)지내 국도개량 건설공사,W,원주청,046,국도 46호선(인천 ~ 고성),강원도 양구군,A,일반국도,01,2001-08-30,2009-12-31,20091231,1,완료공사,101,도로,강원도 양구군 양구읍 웅진리~강원도 양구군 남면 대월리
785,1108300348,C2004182,C2004190,양문제외 1개소 개수공사,S,서울청,R1,임진강,경기도 포천시,R1,임진강,03,2005-09-22,2009-12-31,20091231,1,완료공사,102,하천,~
786,6048300784,C2017009,C2017012,양산천 북부지구 수해복구공사,B,부산청,B1,낙동강,경상남도 양산시,B1,낙동강,01,2017-02-10,2017-12-06,20171206,1,완료공사,102,하천,북부천하류~교리보하류
787,6048300784,C2005097,C2005100,양산천 북정지구 하천개수공사,B,부산청,B1,낙동강,경상남도 양산시,B1,낙동강,01,2005-12-29,2011-04-30,20110430,1,완료공사,102,하천,경남 양산시 유산동~경남 양산시 북부동
788,6048300784,C2014022,C2014028,양산천 양산지구 하천환경정비사업,B,부산청,B1,낙동강,경상남도 양산시,B1,낙동강,01,2014-03-21,2019-07-31,20190323,1,완료공사,102,하천,경남 양산시 북정동~경남 양산시 동면 가산리
789,6048300784,C2008009,C2008009,양전제외 2개소 하천개수공사,B,부산청,Z1,기타,경상남도 산청군,Z1,기타,미등록,2008-01-28,2010-05-18,20110112,1,완료공사,102,하천,신등면 율현리~신등면 양전리
