sptno,sptto,year,totamt,otsramt,gsumtrlct,stlct,cntrdt,stwrdt,ccwdt,gongi
C2005069,4,2014년,113060678000,75106000000,14115678000,23839000000,2008-02-19,2008-02-20,2014-07-23,2344.0
C2005069,3,2007년,5109000000,2991000000,18000000,2100000000,2007-02-14,2007-02-15,2007-12-31,318.0
C2005069,2,2006년,3032000000,1500000000,0,1532000000,2006-02-13,2006-02-14,2006-12-31,319.0
C2005069,1,2005년,2520000000,10000000,0,2510000000,2005-12-15,2005-12-20,2005-12-21,0.0
C2005069,0,전체,123721678000,79607000000,14133678000,29981000000,2005-12-15,2005-12-20,2014-07-23,3136.0
C2009055,4,2013년,3782000000,3634000000,0,148000000,2012-02-09,2012-02-10,2012-12-20,313.0
C2009055,3,2012년,6146000000,4800000000,0,1346000000,2011-02-07,2011-02-09,2011-12-21,314.0
C2009055,2,2010년,3881000000,3300000000,0,581000000,2010-01-27,2010-01-28,2010-12-20,325.0
C2009055,1,2009년,400000000,400000000,0,0,2009-02-17,2009-02-24,2009-12-31,309.0
C2009055,0,전체,15087545000,11587545000,0,3500000000,2009-02-17,2009-02-24,2012-12-20,1394.0
C2012010,5,2015년,4262000000,2340795620,1921204380,0,2015-01-28,2015-01-28,2015-10-18,262.0
C2012010,4,2015년,2709000000,2600194780,85805220,23000000,2014-02-13,2014-02-17,2014-12-15,300.0
C2012010,3,2013년,4500000000,4491149600,8850400,0,2013-04-24,2013-04-25,2013-12-24,242.0
C2012010,2,2013년,2975000000,2975000000,0,0,2012-03-08,2012-03-12,2013-05-28,441.0
C2012010,1,2012년,10000000,10000000,0,0,2012-01-27,2012-02-10,2012-03-10,28.0
C2012010,0,전체,15447724500,12587536100,2830188400,30000000,2012-01-27,2012-02-10,2015-10-18,1345.0
C2013937,1,2014년,8422772000,8422772000,0,0,2013-03-15,2013-03-18,2014-02-10,328.0
C2013937,0,전체,10223000000,10223000000,0,0,2013-03-15,2013-03-18,2014-02-10,328.0
C2015006,5,2018년,7395000000,6442992750,951007250,1000000,2018-01-17,2018-01-18,2018-12-28,343.0
C2015006,4,2018년,7853000000,7110252500,523747500,219000000,2017-01-18,2017-01-23,2018-01-17,358.0
C2015006,3,2017년,7785000000,4870300000,129700000,2785000000,2016-01-28,2016-01-28,2016-12-16,322.0
C2015006,2,2015년,5114000000,3460021300,853978700,800000000,2015-05-08,2015-05-08,2015-12-15,220.0
C2015006,1,2015년,1100000,1100000,0,0,2015-03-06,2015-03-16,2015-05-14,58.0
C2015006,0,전체,28148100000,21884666550,2458433450,3805000000,2015-03-06,2015-03-16,2018-12-28,1382.0
C2015008,7,2020년,1362971000,928186620,414784380,20000000,2020-03-02,2020-03-05,2020-07-02,118.0
C2015008,6,2020년,11513971000,8904795620,1902204380,706971000,2019-01-23,2019-01-24,2020-03-18,418.0
C2015008,5,2018년,9000000000,7036570000,963430000,1000000000,2018-01-12,2018-01-15,2018-12-28,346.0
C2015008,4,2017년,6112000000,4101404000,1398596000,612000000,2017-01-20,2017-01-23,2017-12-26,336.0
C2015008,3,2016년,11441000000,3553062000,6887938000,1000000000,2016-01-28,2016-01-28,2016-12-31,337.0
C2015008,2,2016년,6010000000,4780000000,230000000,1000000000,2015-05-08,2015-05-08,2016-02-03,270.0
C2015008,1,2015년,10000000,10000000,0,0,2015-03-06,2015-03-16,2015-05-14,58.0
C2015008,0,전체,29068740000,23035880000,3534860000,2498000000,2015-03-06,2015-03-16,2020-07-02,1934.0
C2015009,6,2019년,2134600000,1636102300,498497700,0,2019-01-23,2019-01-24,2019-07-22,178.0
C2015009,5,2018년,3615000000,2979380000,625620000,10000000,2018-01-12,2018-01-15,2018-12-28,346.0
C2015009,4,2017년,4941000000,4061960000,438040000,441000000,2017-01-23,2017-01-23,2018-01-17,358.0
C2015009,3,2016년,7015000000,3272620430,627379570,3115000000,2016-01-28,2016-01-28,2016-12-22,328.0
C2015009,2,2015년,5200000000,4000000000,0,1200000000,2015-05-08,2015-05-08,2015-12-24,229.0
C2015009,1,2015년,10000000,10000000,0,0,2015-03-09,2015-03-16,2015-05-14,58.0
C2015009,0,전체,24534500000,14665919940,4363580060,5505000000,2015-03-09,2015-03-16,2019-07-22,1588.0
C2004091,8,2011년,2013000000,2013000000,0,0,2011-01-27,2011-01-27,2011-12-31,337.0
C2004091,7,2010년,5800000000,4036600000,163400000,1600000000,2010-01-25,2010-01-28,2010-12-31,336.0
C2004091,6,2009년,5451462880,5100000000,0,351462880,2008-12-30,2008-12-31,2009-12-24,357.0
C2004091,5,2008년,2074000000,2074000000,0,0,2008-03-19,2008-03-20,2008-11-14,238.0
C2004091,4,2007년,3800000000,3800000000,0,0,2007-02-13,2007-02-16,2007-11-30,286.0
C2004091,3,2006년,2180000000,1800000000,0,380000000,2006-02-14,2006-02-22,2006-10-31,250.0
C2004091,2,2005년,400000000,400000000,0,0,2005-01-29,2005-02-04,2005-12-19,317.0
C2004091,1,2005년,20000000,20000000,0,0,2004-12-23,2004-12-28,2005-04-13,105.0
C2004091,0,전체,19935000000,19741600000,193400000,0,2004-12-23,2004-12-28,2011-12-31,2558.0
C2012022,5,2015년,1825156880,1755156880,0,70000000,2015-01-27,2015-01-28,2015-10-30,274.0
C2012022,4,2014년,4830000000,4635241230,114758770,80000000,2014-02-11,2014-02-17,2015-02-11,358.0
C2012022,3,2014년,3935200000,3935200000,0,0,2013-04-24,2013-04-25,2014-04-19,358.0
C2012022,2,2013년,3786000000,3786000000,0,0,2012-03-08,2012-03-12,2013-06-04,448.0
C2012022,1,2012년,10000000,10000000,0,0,2012-01-27,2012-02-10,2012-03-09,27.0
C2012022,0,전체,15874524800,15457124800,264400000,153000000,2012-01-27,2012-02-10,2015-10-30,1357.0
C2015007,6,2019년,2939121000,2538047710,401073290,0,2019-01-23,2019-01-24,2019-07-22,178.0
C2015007,5,2018년,6221971000,5120121610,1098849390,3000000,2018-01-12,2018-01-15,2018-12-28,346.0
C2015007,4,2018년,6170806000,4873347690,657458310,640000000,2017-01-20,2017-01-23,2018-01-17,358.0
C2015007,3,2017년,7844520000,2954970000,939550000,3950000000,2016-01-28,2016-01-28,2017-01-21,358.0
C2015007,2,2016년,4429641750,3136609150,76032600,1217000000,2015-05-08,2015-05-08,2016-01-02,238.0
C2015007,1,2015년,1000000,1000000,0,0,2015-03-09,2015-03-16,2015-05-14,58.0
C2015007,0,전체,27607059750,18624096160,3172963590,5810000000,2015-03-09,2015-03-16,2019-02-22,1438.0
C2002006,2,2009년,89724473500,89724473500,0,0,2003-01-29,2003-02-03,2009-12-23,2514.0
C2002006,1,2002년,2839000000,10000000,0,2829000000,2002-10-28,2002-11-01,2002-12-30,58.0
C2002006,0,전체,114734473500,89734473500,0,25000000000,2002-10-28,2002-11-01,2009-12-29,2614.0
C2003011,0,전체,0,0,0,0,2003-05-12,2003-05-12,,958.0
C2009042,9,2018년,12164046410,11264046410,0,900000000,2017-01-06,2017-01-16,2018-10-18,639.0
C2009042,8,2017년,10896000000,8652000000,0,2244000000,2016-01-14,2016-01-18,2017-03-22,428.0
C2009042,7,2015년,12068945000,8582945000,0,3486000000,2015-01-29,2015-01-29,2015-12-31,335.0
C2009042,6,2015년,9415000000,5929000000,0,3486000000,2014-03-08,2014-03-10,2015-02-02,328.0
C2009042,5,2014년,11015000000,10406000000,0,609000000,2013-02-13,2013-02-15,2014-11-06,628.0
C2009042,4,2013년,15000000000,9000000000,0,6000000000,2012-02-07,2012-02-08,2013-08-31,569.0
C2009042,3,2011년,8000000000,1283000000,0,6717000000,2011-02-09,2011-02-14,2012-05-15,455.0
C2009042,2,2011년,6000000000,5020000000,0,980000000,2010-01-22,2010-01-27,2011-12-30,701.0
C2009042,1,2009년,764000000,764000000,0,0,2009-04-13,2009-04-15,2009-12-30,258.0
C2009042,0,전체,0,0,0,0,2009-04-13,2009-04-15,2018-10-18,3472.0
C2005032,7,2011년,1698000000,1698000000,0,0,2011-01-27,2011-01-31,2011-06-11,130.0
C2005032,6,2010년,3100000000,3100000000,0,0,2010-01-20,2010-01-26,2010-12-26,333.0
C2005032,5,2009년,2673010600,2458949000,214061600,0,2008-12-29,2009-01-06,,299.0
C2005032,4,2008년,1472000000,1385000000,87000000,0,2008-03-18,2008-03-24,,239.0
C2005032,3,2007년,1496000000,1472000000,24000000,0,2007-02-08,2007-02-12,,299.0
C2005032,2,2006년,1500000000,1336400000,163600000,0,2006-02-03,2006-02-08,,325.0
C2005032,1,2005년,300000000,300000000,0,0,2005-06-16,2005-06-27,,176.0
C2005032,0,전체,13529150000,13529150000,0,0,,2005-06-27,2011-06-06,2169.0
C2015025,6,2020년,5230000000,3857018430,1372981570,0,2020-01-17,2020-01-20,2020-12-19,333.0
C2015025,5,2019년,7331000000,6509544740,580455260,241000000,2019-01-29,2019-02-07,2019-12-31,326.0
C2015025,4,2018년,5000000000,4588367000,411633000,0,2018-01-30,2018-02-01,2018-12-31,332.0
C2015025,3,2017년,4407803000,3637506970,410296030,360000000,2017-01-26,2017-02-01,2017-12-31,332.0
C2015025,2,2016년,4612000000,2788543000,311457000,1512000000,2016-01-29,2016-02-01,2016-12-31,333.0
C2015025,1,2016년,900000000,400000000,0,500000000,2015-09-25,2015-10-07,2015-12-29,82.0
C2015025,0,전체,28102000000,22719390700,3010609300,2372000000,2015-09-25,2015-10-07,2020-12-31,1911.0
C2003012,8,2011년,280000000,280000000,0,0,2011-01-31,2011-02-01,2012-03-17,409.0
C2003012,7,2010년,4351410000,3002410000,0,1349000000,2010-01-28,2010-01-28,2010-12-23,328.0
C2003012,6,2009년,3260620000,2447620000,0,813000000,2009-01-12,2009-01-12,2009-12-22,343.0
C2003012,5,2007년,679500000,679500000,0,0,2007-02-23,2007-02-27,2007-11-12,257.0
C2003012,4,2006년,3975000000,3563800000,36200000,375000000,2006-03-10,2006-03-13,2006-11-24,255.0
C2003012,3,2005년,5692000000,3743000000,0,1949000000,2005-02-15,2005-02-21,2005-12-17,298.0
C2003012,2,2004년,21419000000,6071600000,116400000,15231000000,2004-03-05,2004-03-05,2004-12-31,300.0
C2003012,1,2004년,413000000,413000000,0,0,2003-12-15,2003-12-15,2004-04-22,128.0
C2003012,0,전체,41030000000,20195400000,1117600000,19717000000,2003-12-12,2003-12-15,2010-12-23,2564.0
