ofccd,ofcnm,rutcd,rutnm,fctkdcd,fctkdnm,fctcfcd,fctcfnm,fcno,fctnm,sectnm,lctnm,ccwdt,cstcmpnm,cwknm
41,광주국토관리사무소,41024,일반국도24호선,1,교량,0,기타,EFE3B42F11000191E0340003BA2D2647,백호육교,함평~장성,전라남도 함평군 대동면 백호리,1999-12-01,보성건설(주),
22,강릉국토관리사무소,22007,일반국도7호선,1,교량,3,3종,E673B64272E81C52E034080020A9316A,월천육교(하),삼척 원덕~삼척 근덕,강원도 삼척시 원덕읍 월천리,1999-12-01,,
23,정선국토관리사무소,23042,일반국도42호선,1,교량,3,3종,E673B64272A91C52E034080020A9316A,항동교,정선 나전~정선 임계,강원도 정선군 북평면 북평리,1999-12-01,현대토건(주),
12,의정부국토관리사무소,12037,일반국도37호선,1,교량,3,3종,E673B64268E01C52E034080020A9316A,삼밭교,설악~외서,경기도 가평군 설악면 회곡리,1999-12-01,,
44,순천국토관리사무소,44077,일반국도77호선,1,교량,0,기타,EFE3B42F138F0191E0340003BA2D2647,흥업교,고흥군계~봉암,전라남도 고흥군 포두면 옥강리,1999-12-01,"(주)진도, 우미건설",포두-능정간 지방도 확포장공사
52,진주국토관리사무소,52020,일반국도20호선,1,교량,3,3종,E673B6426B601C52E034080020A9316A,성내육교,산청 단성면계~산청 신안면계,경상남도 산청군 단성면 사월리,1999-12-01,신도산업개발주식회사,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,0,기타,D65A4E2027904a80ACE1A804E14D1D7C,화은교,공주~공주,충청남도 공주시 계룡면 화은리,1999-12-01,㈜한양,
53,포항국토관리사무소,53020,일반국도20호선,1,교량,0,기타,E673B64273A61C52E034080020A9316A,천포3교,건천~안강,경상북도 경주시 건천읍 천포리,1999-12-01,(주)유성건설,건천서부우회도로 축조공사
53,포항국토관리사무소,53020,일반국도20호선,1,교량,2,2종,E673B64273A71C52E034080020A9316A,용명육교,건천~안강,경상북도 경주시 건천읍 천포리,1999-12-01,(주)유성건설,건천서부우회도로 축조공사
31,논산국토관리사무소,31023,일반국도23호선,1,교량,3,3종,56AE6CED62134dcd86596320B2C7267D,기산1교,공주~공주,충청남도 공주시 계룡면 기산리,1999-12-01,현대건설주식회사,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,0,기타,A808DC5801294f4d95514056FF9A5E96,산성1교,논산~논산,충청남도 논산시 노성면 교촌리,1999-12-01,대원실업㈜,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,3,3종,6987BC66C1E3418198594FA8A7D8BC18,읍내교,논산~논산,충청남도 논산시 노성면 하도리,1999-12-01,대원실업㈜,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,3,3종,D51D400DCED940ae862775FE7A6BE904,산성2교,논산~논산,충청남도 논산시 상월면 산성리,1999-12-01,대원실업㈜,
